user_id,date,record_count,most_frequent,peak_value,latest_value,average_value,weighted_average,cluster_based,weighted_cluster
test01,2025-10-10,3,Positive,Positive,Positive,Positive,Positive,Positive,Positive
test01,2025-10-11,3,Positive,Positive,Negative,Positive,Neutral,Positive,Positive
test01,2025-10-12,2,Negative,Negative,Negative,Negative,Negative,Negative,Negative
test01,2025-10-13,5,Negative,Positive,Negative,Neutral,Neutral,Negative,Neutral
test01,2025-10-15,4,Positive,Positive,Negative,Positive,Neutral,Positive,Positive
test01,2025-10-16,1,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral
test01,2025-10-17,4,Positive,Positive,Neutral,Positive,Positive,Positive,Positive
test01,2025-10-20,5,Positive,Positive,Positive,Positive,Positive,Positive,Positive
test01,2025-10-21,4,Positive,Positive,Neutral,Positive,Positive,Positive,Positive
test01,2025-10-23,6,Positive,Positive,Positive,Positive,Positive,Positive,Positive
test01,2025-10-24,2,Positive,Positive,Positive,Positive,Positive,Positive,Positive
test01,2025-10-25,12,Positive,Positive,Positive,Positive,Positive,Positive,Positive
test01,2025-10-26,14,Positive,Negative,Positive,Positive,Positive,Positive,Positive
test01,2025-10-27,18,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive
test01,2025-10-28,13,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive
test01,2025-10-29,3,Positive,Positive,Positive,Positive,Positive,Positive,Positive
Test02,2025-10-10,2,Positive,Positive,Positive,Positive,Positive,Positive,Positive
Test02,2025-10-11,1,Positive,Positive,Positive,Positive,Positive,Positive,Positive
Test02,2025-10-12,4,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral
Test02,2025-10-13,3,Negative,Negative,Negative,Neutral,Negative,Negative,Negative
Test02,2025-10-14,5,Negative,Negative,Negative,Negative,Negative,Negative,Negative
Test02,2025-10-15,6,Negative,Negative,Negative,Negative,Neutral,Negative,Negative
Test02,2025-10-16,8,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative
Test02,2025-10-17,9,Negative,Negative,Negative,Neutral,Negative,Negative,Negative
Test02,2025-10-18,6,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative
Test02,2025-10-19,9,Negative,Positive,Positive,Neutral,Neutral,Negative,Neutral
Test02,2025-10-20,7,Negative,Positive,Neutral,Neutral,Neutral,Negative,Positive
Test02,2025-10-21,4,Negative,Negative,Negative,Negative,Negative,Negative,Negative
